项目名称,单位,X折叠,F700,10FT,15FT,20FT,30FT,40FT
无,项,0,0,0,0,0,0,0
不要,项,0,0,0,0,0,0,0
标配室内门,樘,0,0,0,0,0,0,0
普通内墙板,套,0,0,0,0,0,0,0
基础箱体,台,8000,19000,14000,16000,21000,34000,44000
空箱,套,0,0,0,0,0,0,0
房间数量定制,套,0,0,0,0,0,0,0
一室,套,0,1000,1000,1000,1000,1000,1000
两室,套,0,2000,2000,2000,2000,2000,2000
三室,套,0,3000,3000,3000,3000,3000,3000
四室,套,0,4000,4000,4000,4000,4000,4000
五室,套,0,5000,5000,5000,5000,5000,5000
六室,套,0,6000,6000,6000,6000,6000,6000
岩棉 50mm,平米,0,0,0,0,0,0,0
岩棉 75mm,平米,200,200,200,200,200,300,400
eps 75mm,平米,150,150,150,150,150,200,300
聚氨酯 75mm,平米,0,6000,6000,6000,6000,8000,10000
100厚聚氨酯,平米,0,0,0,0,0,0,21400
碳晶板(8mm),套,4000,4000,2800,3500,4000,4500,5500
竹木纤维板,套,4000,4000,3000,3500,3500,4500,5500
聚氨酯板75,项,0,6000,6000,6000,4500,7000,9000
普通外墙板,套,0,0,0,0,0,0,0
金属雕花板,套,2500,2200,1800,2100,2500,3500,4500
长城板,套,2500,2500,2500,2500,2500,3500,4500
石墨烯墙板,套,0,0,0,0,1000,2000,3000
WPC墙板,套,0,0,2800,0,4000,6000,8000
木芯门,樘,300,300,300,300,300,300,300
高端铝框木芯门,樘,500,500,500,500,500,500,500
谷仓门,樘,1200,1200,1200,1200,1200,1200,1200
肯德基双开门,樘,2200,2200,2200,2200,2200,2200,2200
肯德基单开门,樘,1500,1500,1500,1500,1500,1500,1500
防盗门1,樘,1500,1500,1500,1500,1500,1500,1500
防盗门2(钛镁合金),樘,4000,4000,4000,4000,4000,4000,4000
断桥铝对开门,樘,2000,2000,2000,2000,2000,2000,2000
断桥铝单开门,樘,1200,1200,1200,1200,1200,1200,1200
断桥铝推拉门,樘,2000,2000,2000,2000,2000,2000,2000
钛镁合金推拉门,樘,1600,1600,1600,1600,1600,1600,1600
普通钢制对开门,樘,1000,1000,1000,1000,1000,1000,1000
电动卷帘门,樘,2000,2000,2000,2000,2000,2000,2000
断桥铝格格单开门,樘,1500,1500,1500,1500,1500,1500,1500
钢制单开,樘,500,500,500,500,500,500,500
断桥铝窗(不含纱窗),平米,450,450,450,450,450,450,450
断桥铝推拉窗(含纱窗),平米,550,550,550,550,550,550,550
铝合金推拉窗(含纱窗),平米,300,300,300,300,300,300,300
内开内倒窗,平米,1200,1200,1200,1200,1200,1200,1200
断桥铝对开窗,平米,600,600,600,600,600,600,600
铝合金外旋(含纱窗),平米,800,800,800,800,800,800,800
塑钢平开窗,平米,200,200,200,200,200,200,200
塑钢推拉窗,平米,200,200,200,200,200,200,200
电动卷帘窗,平米,650,650,650,650,650,650,650
普通网,个,50,50,50,50,50,50,50
金刚网,个,100,100,100,100,100,100,100
地板革(2mm),套,300,700,600,800,800,1500,1500
石塑锁扣地板(4cm),套,1000,1500,1200,1600,1800,2500,3500
石墨烯地热,套,0,0,0,0,4000,5000,6000
屋顶全贴防水卷材,项,0,500,500,500,800,1200,1800
聚氨酯底部保温(4cm),项,0,2500,2500,2500,2500,4000,5000
聚氨酯底部保温(块),项,0,2000,2000,2000,2000,3000,4000
PVC,套,0,600,600,600,600,900,1200
锰铝合金,套,0,1000,1000,1000,1000,1300,1600
顶部瓦楞板,套,0,1000,600,800,1000,1500,2000
内顶金属雕花板,套,0,500,500,500,500,800,1000
平顶,套,0,1500,1500,1500,1500,2000,2500
通铺屋顶,项,0,4000,0,0,5500,8500,11000
75mm EPS顶板,项,0,0,0,0,1000,2000,3000
75mm PU顶板,项,0,0,0,0,2000,3000,4000
100mm EPS顶板,项,0,0,0,0,1000,1500,2000
100mm PU顶板,项,0,0,0,0,2700,3800,5400
100mm顶部框架,项,0,0,0,0,1000,1500,2000
认证电线,项,600,600,600,600,600,900,1200
认证插座开关,项,300,300,300,300,300,450,600
认证灯,项,200,200,200,200,200,300,400
上下水认证,项,0,600,600,600,600,600,600
马桶,个,0,400,400,400,400,400,400
排气扇(200*200),个,0,100,100,100,100,100,100
热水器,个,0,500,500,500,500,500,500
L橱柜+洗碗池,套,0,1800,1800,1800,1800,1800,1800
黑色L橱柜+洗碗池,套,0,2000,2000,2000,2000,2000,2000
一字型橱柜,套,0,1200,1200,1200,1200,1200,1200
吊柜,项,0,600,600,600,600,600,600
干湿分离,套,0,3200,3200,3200,3200,3200,3200
干湿分离(升级油砂玻璃),套,0,3500,3500,3500,3500,3500,3500
干湿分离(升级碳晶/竹木),套,0,3700,3700,3700,3700,3700,3700
扇形卫浴,套,0,3200,3200,3200,3200,3200,3200
墙板特殊颜色,项,0,500,500,500,500,1000,1000
螺栓可调节支撑地脚杯,个,0,20,20,20,20,20,20
可调节大支撑腿,个,0,100,100,100,100,100,100
液压杆+绞盘,套,0,500,500,500,500,500,500
玻璃幕墙,项,0,3200,3200,3200,3200,3200,3200
室外露台+屋顶,项,0,4000,4000,4000,5000,7500,7500
楼梯,项,0,2500,2500,2500,2500,2500,2500
拖车,辆,0,0,0,0,16000,26000,26000
